Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification, Estimated Income , Superannuation Savings ,Amount of Credit Cards, Credit Card Balance , Bank Loans , Bank Deposits , Checking Accounts , Saving Accounts , Foreign Currency Account , Business Lending ,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND90177,Julia Roberts,81,5659,8/11/2006,Victor Martinez,European,Software Engineer I,Mid,Platinum," $131,497.09 "," $15,962.66 ",1," $3,127.86 "," $57,219.90 "," $725,666.60 "," $233,012.21 "," $506,302.25 "," $21,798.32 "," $498,564.84 ",0,1,2,2,6
IND60970,Philip Fisher,27,28045,23-12-2001,Carl Nguyen,Asian,Accountant I,High,Gold," $319,205.91 "," $49,416.00 ",1, $9.55 , $-   ," $309,361.94 "," $360,077.01 "," $135,307.81 "," $17,710.52 "," $945,483.98 ",3,4,3,1,7
IND24003,Jeffrey Taylor,56,16845,28-02-2020,Anthony Simpson,European,Automation Specialist IV,Mid,Silver," $44,088.51 "," $32,418.88 ",2," $2,795.52 "," $1,485,747.33 "," $396,706.92 "," $153,723.93 "," $55,588.56 "," $40,504.26 "," $717,420.29 ",1,2,4,2,8
IND87800,Mark Mccoy,33,20816,24-01-2008,Patrick Graham,European,Biostatistician I,High,Silver," $420,683.66 "," $24,472.55 ",1," $1,011.56 "," $820,479.90 "," $1,818,216.16 "," $683,649.27 "," $886,562.20 "," $14,157.73 "," $1,549,847.59 ",1,3,1,1,9
IND75987,Timothy Cook,79,30025,11/12/2006,Chris Armstrong,European,Nurse,Low,Jade," $32,062.52 "," $19,653.48 ",1," $1,612.82 "," $231,528.63 "," $140,280.05 "," $170,536.53 "," $109,748.51 "," $5,492.47 "," $352,732.73 ",0,1,1,2,10
IND70083,Larry Green,56,12219,28-08-2016,Benjamin Kim,European,Human Resources Manager,Mid,Jade," $92,487.65 "," $23,690.51 ",1," $2,199.18 "," $560,657.25 "," $208,470.98 "," $49,811.65 "," $134,675.95 "," $5,026.45 "," $407,139.68 ",2,1,1,1,11
IND31444,Edward Gordon,55,33457,31-01-2020,Victor Martinez,European,Analyst Programmer,Mid,Gold," $130,572.51 "," $49,441.92 ",1," $3,225.23 "," $120,782.42 "," $370,436.77 "," $206,472.95 "," $264,528.29 "," $17,000.19 "," $854,418.25 ",0,2,2,1,12
IND70450,Edward Evans,77,31049,21-07-2021,Gregory Simmons,Australian,Database Administrator III,High,Gold," $54,753.75 "," $5,311.00 ",1," $1,408.34 "," $80,386.11 "," $11,363.75 "," $14,158.11 "," $4,470.98 "," $8,745.72 "," $390,608.62 ",1,1,2,2,13
IND47520,Joseph Morrison,49,3444,16-03-2020,George Lewis,Australian,Web Designer III,Mid,Silver," $180,214.79 "," $9,226.35 ",2, $587.71 ," $791,256.59 "," $1,988,033.00 "," $460,993.16 "," $783,688.37 "," $36,763.45 "," $1,991,318.10 ",2,2,3,2,14
IND69076,Kathy Wheeler,67,3711,12/11/1996,Anthony Torres,European,Senior Editor,High,Jade," $52,826.78 "," $26,160.46 ",2," $2,617.61 "," $385,480.43 "," $295,345.61 "," $277,114.40 "," $86,634.71 "," $20,544.70 "," $71,268.33 ",2,1,3,2,15
IND53190,Amy Sims,66,30998,2/1/2007,Joshua Bennett,European,Health Coach III,Low,Gold," $43,622.88 "," $19,416.40 ",1, $229.90 ," $39,047.14 "," $192,729.77 "," $87,604.44 "," $223,391.32 "," $16,286.60 "," $237,137.34 ",0,1,3,1,16
IND58356,Sharon Warren,64,3113,9/1/2018,Phillip Peters,African,Web Developer I,Mid,Silver," $142,841.26 "," $5,405.00 ",1," $3,431.39 "," $508,939.36 "," $527,832.84 "," $450,589.01 "," $171,867.52 "," $12,316.33 "," $542,464.52 ",0,2,3,1,17
IND33691,Nicholas Gilbert,49,30551,7/4/2009,Douglas Tucker,African,Systems Administrator III,High,Silver," $90,437.66 "," $12,737.40 ",3," $2,830.36 "," $573,366.17 "," $202,406.32 "," $101,203.16 "," $80,786.52 "," $9,723.87 "," $704,110.00 ",2,2,3,1,18
IND20398,Melissa Miller,65,16593,29-09-2008,Jason Duncan,Australian,Biostatistician III,High,Jade," $32,301.47 "," $5,597.40 ",1," $1,751.42 "," $310,657.96 "," $74,293.47 "," $64,447.35 "," $14,035.20 "," $13,795.28 "," $579,453.83 ",1,1,3,1,19
IND54314,Kevin Gomez,32,24168,1/1/2007,Jerry Green,European,Project Manager,Mid,Jade," $293,419.07 "," $16,443.25 ",1," $4,496.63 "," $2,183,384.72 "," $1,490,773.71 "," $634,781.07 "," $281,227.25 ", $399.20 ," $1,633,759.29 ",2,4,3,2,20
IND74305,Ronald Larson,29,25730,11/12/1999,Bobby Burton,Australian,Software Engineer III,High,Gold," $55,011.84 "," $14,206.20 ",1," $3,955.06 "," $479,936.38 "," $1,209,655.58 "," $474,674.98 "," $299,657.72 "," $43,547.80 "," $698,612.48 ",3,1,4,1,21
IND37195,Christine Williams,31,10528,16-04-2015,Joshua Bennett,European,Engineer III,High,Jade," $77,971.46 "," $7,820.40 ",1, $856.21 ," $478,157.92 "," $61,042.62 "," $29,222.53 "," $25,358.66 "," $24,984.35 "," $487,689.45 ",0,1,4,2,22
IND52609,Angela Roberts,22,30762,9/7/2005,Nicholas Cunningham,European,Health Coach I,High,Jade," $84,111.51 "," $18,940.38 ",1, $156.67 ," $304,608.18 "," $130,415.95 "," $61,947.58 "," $84,900.78 "," $3,455.22 "," $356,683.94 ",3,1,1,1,1
IND26283,Joshua Hughes,58,95,21-04-2006,Shawn Cook,European,Human Resources Assistant I,High,Jade," $98,369.29 "," $3,050.25 ",1," $1,441.89 "," $213,195.07 "," $376,150.25 "," $235,795.68 "," $198,629.79 "," $23,821.78 "," $312,562.61 ",3,2,2,2,2
IND61913,Joshua Stephens,75,10119,30-08-2012,Samuel Fowler,American,Software Test Engineer II,High,Silver," $243,490.73 "," $63,872.76 ",1," $5,578.34 "," $1,045,569.03 "," $428,657.45 "," $214,328.73 "," $382,765.89 "," $32,217.39 "," $1,105,110.35 ",1,3,3,1,3
IND35876,Evelyn Ramirez,18,28105,27-09-2006,Frank Brown,American,Web Designer II,Mid,Jade," $72,431.34 "," $34,975.16 ",1," $5,303.50 "," $1,210,753.08 "," $205,810.18 "," $127,568.29 "," $29,765.93 "," $25,402.35 "," $1,532,523.47 ",0,2,4,1,4
IND19011,Lillian Burns,47,33271,7/11/2003,Paul Larson,European,Sales Associate,Mid,Silver," $456,003.99 "," $25,171.20 ",2," $7,969.46 "," $1,248,952.37 "," $1,050,537.35 "," $674,555.56 "," $237,200.27 "," $71,113.77 "," $1,347,657.84 ",2,4,1,2,8
IND86703,Lillian Bell,41,11172,16-02-2018,Stephen Payne,European,Biostatistician I,High,Platinum," $71,422.04 "," $32,993.52 ",1," $4,253.34 "," $315,175.42 "," $38,234.02 "," $33,404.46 "," $7,799.74 "," $38,428.49 "," $813,247.12 ",2,2,1,2,9
IND23640,Phillip Perez,36,18659,2/4/2018,Benjamin Kim,European,Accounting Assistant III,Low,Jade," $39,077.38 "," $14,707.68 ",2," $1,305.38 "," $1,187,138.91 "," $717,787.70 "," $144,670.39 "," $242,934.97 "," $11,997.93 "," $1,231,614.29 ",0,2,1,2,10
IND93407,Karen Morrison,84,18123,16-04-2010,Carl Nguyen,European,Dental Hygienist,High,Jade," $274,099.12 "," $26,051.76 ",2," $2,461.94 "," $563,101.95 ", $-   , $-   , $-   ," $4,870.24 "," $520,918.49 ",3,2,2,2,11
IND40136,John Cruz,26,27140,25-09-2019,Victor Martinez,European,Developer IV,Mid,Silver," $260,826.75 "," $53,468.10 ",3, $270.60 ," $804,359.98 "," $529,324.30 "," $295,539.40 "," $106,261.85 "," $46,060.06 "," $296,849.18 ",0,3,2,1,12
IND76215,Joseph Thomas,74,18521,7/1/1999,Jeremy Vasquez,American,Engineer IV,Low,Platinum," $334,331.81 "," $18,591.75 ",2," $1,029.30 "," $164,253.29 "," $641,260.15 "," $500,709.98 "," $396,615.01 "," $46,006.43 "," $1,094,810.02 ",1,3,3,2,13
IND93216,Anthony Green,47,40585,11/2/2012,Dennis Ruiz,Asian,Software Consultant,High,Jade," $61,398.26 "," $20,668.94 ",1, $550.75 ," $360,003.87 "," $277,273.40 "," $305,000.74 "," $109,324.94 "," $2,850.73 "," $118,884.97 ",2,1,3,1,14
IND54572,Terry Hanson,82,4749,11/4/2007,Phillip Peters,European,Software Test Engineer II,High,Gold," $63,246.30 "," $18,575.70 ",1," $2,914.18 "," $448,652.70 "," $537,205.52 "," $362,849.34 "," $93,209.87 "," $17,124.28 "," $237,993.70 ",0,1,3,2,15
IND18649,Norma Perez,25,7639,24-03-2019,George Lewis,European,Accountant II,Mid,Platinum," $158,091.86 "," $33,824.44 ",3," $1,080.03 "," $207,662.76 "," $177,146.44 "," $177,146.44 "," $70,553.15 "," $17,133.59 "," $235,133.69 ",0,2,3,1,1
IND51790,Ann Bradley,44,6517,10/9/2016,Dennis Morris,European,Software Engineer II,Mid,Jade," $131,729.85 "," $6,664.06 ",2," $6,215.34 "," $863,722.10 "," $359,436.79 "," $161,746.56 "," $166,059.80 "," $41,209.82 "," $506,592.10 ",2,2,3,1,2
IND17740,Daniel Morrison,38,38743,18-06-2011,Frank Brown,Asian,Health Coach IV,High,Gold," $116,926.94 "," $18,431.28 ",2," $3,828.20 "," $1,049,088.92 "," $463,600.46 "," $200,893.53 "," $58,413.66 "," $7,382.34 "," $1,299,697.25 ",1,2,3,2,3
IND49489,Keith Weaver,74,4567,9/8/1995,Nicholas Cunningham,American,Associate Professor,High,Gold," $148,224.72 "," $27,518.00 ",2, $27.81 ," $302,048.92 "," $73,076.62 "," $28,675.63 "," $52,337.66 "," $17,272.56 "," $456,098.92 ",3,1,3,1,4
IND50658,Patrick Richardson,35,36151,24-08-2021,Roger Alexander,Asian,Computer Systems Analyst I,Mid,Jade," $348,248.56 "," $65,026.00 ",1," $3,435.36 "," $1,369,215.65 "," $450,525.37 "," $124,963.24 "," $169,226.54 "," $6,690.97 "," $2,698,297.83 ",0,3,4,2,5
IND14798,Beverly Griffin,74,21413,24-09-2014,Shawn Wallace,American,Health Coach I,High,Silver," $19,637.78 "," $9,527.23 ",2, $78.14 ," $24,331.27 "," $150,917.77 "," $83,660.94 "," $40,993.86 "," $17,286.26 "," $100,054.72 ",0,1,4,1,6
IND60926,Virginia Greene,62,7197,13-12-1995,Phillip Peters,American,Electrical Engineer,Mid,Jade," $150,304.49 "," $7,326.44 ",1, $767.06 ," $523,866.09 "," $363,305.25 "," $199,374.83 "," $224,185.92 "," $33,854.22 "," $607,800.07 ",1,2,1,1,7
IND57710,Antonio Ruiz,23,27256,5/11/2003,Ernest Rivera,European,Statistician I,Low,Jade," $52,109.13 "," $14,277.05 ",1, $209.68 ," $205,552.05 "," $329,191.59 "," $116,949.64 "," $88,665.16 "," $6,681.62 "," $1,148,304.50 ",1,1,2,1,8
IND71795,John Chapman,68,21290,23-08-2007,Keith Griffin,European,Programmer Analyst III,Mid,Platinum," $156,091.75 "," $20,609.04 ",3, $382.87 ," $707,577.90 "," $435,466.02 "," $112,495.39 "," $252,896.89 "," $35,301.62 "," $837,133.63 ",2,1,3,1,9
IND98220,Ruth Bishop,79,3957,24-01-2020,Joe Price,American,Human Resources Assistant II,High,Jade," $338,383.13 "," $57,267.05 ",1," $3,505.86 "," $1,565,513.72 "," $730,384.02 "," $497,152.15 "," $144,603.76 "," $74,778.17 "," $884,890.55 ",1,4,4,1,10
IND91662,Alice Chavez,29,39668,21-02-2019,Jerry Green,European,Assistant Professor,High,Silver," $198,553.59 "," $20,851.74 ",1," $5,581.31 "," $414,518.57 "," $1,144,704.01 "," $696,263.26 "," $570,935.88 "," $40,208.75 "," $1,522,411.23 ",3,4,1,2,11
IND18901,Heather Palmer,52,374,5/11/2002,Stephen Payne,European,Accounting Assistant III,Mid,Silver," $190,119.93 "," $47,110.05 ",1," $3,525.21 "," $527,884.11 "," $99,616.37 "," $122,860.19 "," $23,741.90 "," $6,920.94 "," $136,723.47 ",1,2,1,1,12
IND49888,Louis Banks,68,31302,26-01-2003,Paul Larson,American,Administrative Assistant I,Mid,Jade," $147,956.79 "," $52,216.52 ",1," $2,977.86 "," $701,005.58 "," $720,211.85 "," $302,231.76 "," $279,467.92 "," $23,058.96 "," $1,504,310.04 ",3,2,1,2,13
IND76081,Bobby Gordon,41,23190,2/1/2010,Nicholas Cunningham,Australian,Geologist IV,Mid,Gold," $91,071.75 "," $33,111.54 ",1," $8,062.65 "," $677,123.94 "," $558,283.30 "," $298,923.34 "," $147,703.30 "," $7,880.76 "," $1,554,534.94 ",0,2,2,1,14
IND93705,Randy Gardner,70,18488,28-10-2020,Paul Holmes,American,Help Desk Operator,Mid,Gold," $96,545.37 "," $23,191.74 ",1," $3,386.45 "," $1,104,753.03 "," $1,268,890.97 "," $630,243.86 "," $252,097.54 "," $39,556.05 "," $1,941,061.87 ",3,2,2,1,15
IND52847,Eric Burke,32,8566,19-06-2015,Samuel Fowler,Asian,Assistant Media Planner,High,Jade," $63,765.00 "," $11,354.00 ",1," $2,644.75 "," $1,012,372.67 "," $1,568,405.32 "," $541,210.29 "," $478,805.43 "," $62,053.29 "," $1,665,045.85 ",3,2,3,2,16
IND24592,Martin Shaw,47,10123,18-09-2007,Carl Nguyen,American,Technical Writer,Mid,Jade," $191,715.40 "," $31,923.72 ",1," $1,296.45 "," $402,401.84 "," $269,460.70 "," $316,098.13 "," $121,257.32 "," $19,337.29 "," $673,780.44 ",0,2,3,1,17
IND31656,Phillip Hansen,83,633,28-01-2012,Dennis Ruiz,Asian,Human Resources Assistant I,Mid,Silver," $218,312.27 "," $21,480.88 ",2," $5,886.56 "," $1,757,312.99 "," $1,099,352.83 "," $389,770.55 "," $402,363.14 "," $30,773.91 "," $735,797.50 ",1,5,3,1,18
IND85060,Randy Wheeler,24,8325,15-02-2006,Roger Alexander,European,Software Consultant,High,Platinum," $157,167.47 "," $31,498.25 ",1," $1,909.30 "," $597,244.53 "," $262,988.54 "," $128,881.80 "," $51,169.56 "," $42,714.80 "," $836,453.63 ",3,1,3,1,19
IND89139,Matthew Brown,84,23184,9/7/2014,Joshua Ryan,European,Administrative Assistant IV,Low,Gold," $101,929.59 "," $13,019.30 ",1," $1,163.81 "," $614,181.30 "," $445,914.24 "," $137,911.62 "," $373,280.79 "," $12,590.02 "," $516,128.95 ",3,1,3,2,20
IND81423,Dennis Hanson,29,24727,1/3/2009,Benjamin Kim,American,Recruiter,High,Jade," $40,985.49 "," $19,729.50 ",3, $646.13 ," $358,194.38 "," $186,144.38 "," $114,664.94 "," $37,333.12 "," $13,412.63 "," $222,160.88 ",1,1,3,1,21
IND85541,Alan Bennett,85,9136,12/9/2018,Dennis Morris,African,Staff Scientist,High,Jade," $109,218.70 "," $6,820.80 ",1," $2,767.30 "," $587,928.77 "," $198,995.43 "," $128,873.23 "," $68,530.24 "," $13,413.79 "," $566,786.30 ",2,1,3,1,22
IND59219,Helen Jenkins,51,10186,30-10-2014,Stephen Payne,European,Web Developer III,High,Jade," $174,258.52 "," $34,182.52 ",1," $5,185.78 "," $648,432.67 "," $1,125,389.67 "," $830,895.18 "," $198,783.78 "," $36,318.33 "," $452,950.77 ",3,3,4,1,1
IND43444,Katherine Myers,59,33070,14-11-2018,Shawn Cook,European,Senior Developer,High,Jade," $74,059.23 "," $14,702.60 ",2," $1,361.56 "," $374,815.99 "," $384,271.05 "," $216,865.84 "," $124,336.41 "," $8,446.40 "," $962,931.99 ",2,1,4,2,2
IND85299,Scott Hughes,84,2874,22-07-2019,Shawn Cook,American,Health Coach IV,High,Silver," $158,874.14 "," $38,794.28 ",1," $2,366.28 "," $261,364.76 "," $127,418.48 "," $101,648.45 "," $46,915.77 "," $40,839.46 "," $334,072.22 ",0,2,1,1,3
IND58136,Barbara Larson,69,18759,10/1/2020,Nicholas Simmons,American,Office Assistant II,Mid,Jade," $71,958.90 "," $13,998.90 ",1," $2,756.83 "," $124,510.61 "," $199,185.62 "," $120,782.77 "," $81,093.97 "," $15,957.53 "," $639,874.92 ",1,1,2,2,4
